,price,city,kms_driven,owner,age,power,brand
15837,87000.0,Gautam Buddha Nagar,16336,First Owner,7,350.0,Royal Enfield
15838,70000.0,Mumbai,13858,Second Owner,11,350.0,Royal Enfield
15839,35000.0,Ahmedabad,11885,First Owner,12,125.0,Suzuki
15840,196700.0,Mumbai,13216,First Owner,4,390.0,KTM
15841,25000.0,Delhi,32588,First Owner,9,150.0,Bajaj
15842,123000.0,Kadapa,14500,First Owner,4,250.0,Yamaha
15843,95500.0,Delhi,18000,First Owner,8,350.0,Royal Enfield
15844,32000.0,Delhi,12000,First Owner,6,100.0,Hero
15845,41000.0,Delhi,20245,Second Owner,11,220.0,Bajaj
15846,15000.0,Perumbavoor,35000,Second Owner,19,100.0,Hero
15847,39000.0,Delhi,22000,First Owner,4,100.0,Hero
15848,30000.0,Karnal,6639,First Owner,9,180.0,TVS
15849,60000.0,Delhi,20373,First Owner,6,220.0,Bajaj
15850,15600.0,Jaipur,84186,First Owner,16,125.0,Hero
15851,22000.0,Pune,60857,First Owner,13,150.0,Bajaj
15852,23000.0,Lucknow,20000,First Owner,6,100.0,Bajaj
15853,32000.0,Lucknow,22697,First Owner,7,125.0,Suzuki
15854,20000.0,Kanchipuram,52000,First Owner,10,150.0,Yamaha
15855,55005.0,Godhara,6600,First Owner,5,220.0,Bajaj
15856,87000.0,Gautam Buddha Nagar,16336,First Owner,7,350.0,Royal Enfield
15857,70000.0,Mumbai,13858,Second Owner,11,350.0,Royal Enfield
15858,35000.0,Ahmedabad,11885,First Owner,12,125.0,Suzuki
15859,196700.0,Mumbai,13216,First Owner,4,390.0,KTM
15860,25000.0,Delhi,32588,First Owner,9,150.0,Bajaj
15861,123000.0,Kadapa,14500,First Owner,4,250.0,Yamaha
15862,95500.0,Delhi,18000,First Owner,8,350.0,Royal Enfield
15863,32000.0,Delhi,12000,First Owner,6,100.0,Hero
15864,41000.0,Delhi,20245,Second Owner,11,220.0,Bajaj
15865,15000.0,Perumbavoor,35000,Second Owner,19,100.0,Hero
15866,39000.0,Delhi,22000,First Owner,4,100.0,Hero
15867,30000.0,Karnal,6639,First Owner,9,180.0,TVS
15868,60000.0,Delhi,20373,First Owner,6,220.0,Bajaj
15869,15600.0,Jaipur,84186,First Owner,16,125.0,Hero
15870,22000.0,Pune,60857,First Owner,13,150.0,Bajaj
15871,23000.0,Lucknow,20000,First Owner,6,100.0,Bajaj
15872,32000.0,Lucknow,22697,First Owner,7,125.0,Suzuki
15873,20000.0,Kanchipuram,52000,First Owner,10,150.0,Yamaha
15874,55005.0,Godhara,6600,First Owner,5,220.0,Bajaj
15875,87000.0,Gautam Buddha Nagar,16336,First Owner,7,350.0,Royal Enfield
15876,70000.0,Mumbai,13858,Second Owner,11,350.0,Royal Enfield
15877,35000.0,Ahmedabad,11885,First Owner,12,125.0,Suzuki
15878,196700.0,Mumbai,13216,First Owner,4,390.0,KTM
15879,25000.0,Delhi,32588,First Owner,9,150.0,Bajaj
15880,123000.0,Kadapa,14500,First Owner,4,250.0,Yamaha
15881,95500.0,Delhi,18000,First Owner,8,350.0,Royal Enfield
15882,32000.0,Delhi,12000,First Owner,6,100.0,Hero
15883,41000.0,Delhi,20245,Second Owner,11,220.0,Bajaj
15884,15000.0,Perumbavoor,35000,Second Owner,19,100.0,Hero
15885,39000.0,Delhi,22000,First Owner,4,100.0,Hero
15886,30000.0,Karnal,6639,First Owner,9,180.0,TVS
15887,60000.0,Delhi,20373,First Owner,6,220.0,Bajaj
15888,15600.0,Jaipur,84186,First Owner,16,125.0,Hero
15889,22000.0,Pune,60857,First Owner,13,150.0,Bajaj
15890,45000.0,Chennai,18742,First Owner,6,150.0,Yamaha
15891,43000.0,Bangalore,42837,First Owner,8,150.0,Honda
15892,55000.0,Rupnagar,27000,First Owner,9,150.0,Yamaha
15893,11900.0,Noida,34968,First Owner,14,150.0,Hero
15894,105000.0,Delhi,20000,First Owner,4,350.0,Royal Enfield
